name
Benzion Miller
Berele Chagy
Berenika Glixman
Beri Weber
Bernard Greenhouse
Bernard Grüner
Bernardo Segall
Bernhard Sekles
Bernie Lowe
Bernie Privin
Berry Sakharof
Bert Kalmar
Bert Parks
Berthold Goldschmidt
Beryl Rubinstein
Beth Hirsch
Bette Midler
Betty Comden
Betty Olivero
Betty Robbins
Beverly Sills
Big Dipper (rapper)
Billy Joel
Billy Jonas
Billy Rose
Billy Steinberg
Bina Landau
Blake Morgan
Blondshell
Blue Barron
Blue Fringe
Boaz Ma'uda
Boaz Sharabi
Bob Berg
Bob Blue
Bob Brozman
Bob Dylan
Bob Feldman
Bob Hilliard
Bob Manning (pop singer)
Bob Mover
Bob Rothberg
Bobby Liebling
Bobby Sichran
Bobby Susser
Bolesław Kon
Boom Pam
Boots Riley
Borgore
Boris Berezovsky (pianist)
Boris Berman (musician)
Boris Giltburg
Boris Goldovsky
Boris Khaikin
Boris Levenson
Boris Moiseev
Boris Papandopulo
Boris Pasternak
Boris Pigovat
Boris Yoffe
Boruch Greenfeld
Bracha Eden and Alexander Tamir
Bracha Jaffe
Bracha Zefira
Brad Delson
Bree Lowdermilk
Brenda K. Starr
Brett Gurewitz
Brian Choper
Brian Rosenworcel
Brigitte Zarie
Broder singer
Bronisław Huberman
Bruce Kulick
Bruce Molsky
Bruce Sussman
Bruno Bjelinski
Bruno Leonardo Gelber
Bruno Mars
Bruno Walter
Buck Ram
Bud Freeman
Bud Green
Budapest String Quartet
Buddy Clark
Buddy Feyne
Buddy Rich
Burt Bacharach
Burton Greene
Burton Lane
Bustan Abraham
Buzz Osborne
Byron Janis
Béla Fleck
C Lanzbom
Camille Erlanger
Can Bonomo
Candice Night
Cantor in Reform Judaism
Carl Flesch
Carl Sigman
Carlos Feller
Carly Rose Sonenclar
Carol Bruce
Carol Connors (singer)
Carol Kaye
Carol Rosenberger
Carole Bayer Sager
Carole King
Carolyn Leigh
Carrie Brownstein
Casey Abrams
Cass Elliot
Catya Sassoon
Chad I Ginsburg
Chaim David Lippe
Chaim-Dovid Saracik
Chana Eden
Chanel West Coast
Charles Fox (composer)
Charles K. Harris
Charles Kensington Salaman
Charles Rosen
Charles Strouse
Charles Tobias
Charles-Valentin Alkan
Charlie Megira
Charlie Spivak
Charlotte Rae
Chava Alberstein
Chaya Czernowin
Cheese (music producer)
Chilly Gonzales
Chris Barron
Chris Feinstein
Chris Stein
Christopher Guest
Chuck Israels
Chuck Schuldiner
Cisco Adler
Claire Barry
Claire Monis
Clara Haskil
Clara de Vries
Claude Abravanel
Claude Frank
Clifford Curzon
Coenraad Bloemendal
Constance Keene
Consuelo Luz Arostegui
Corky Siegel
Country Joe McDonald
Country Yossi
Craig Bierko
Craig David
Creation (American band)
Curt Sachs
Cy Coben
Cy Coleman
Cynthia Weil
DJ AM
DJ Vlad
Dafna Dekel
Daklon
Dalal Abu Amneh
Dalia Shusterman
Dan Avidan
Dan Bern
Dan Ettinger
Dan Lilker
Dan Nichols
Dan Spitz
Dana Berger
Dana International
Daniel Adni
Daniel Antopolsky
Daniel Barenboim
Daniel Benyamini
Daniel Catán
Daniel Epstein (pianist)
Daniel Ferro
Daniel Heifetz
Daniel Hope
Daniel Kahn
Daniel Kurganov
Daniel Levy (pianist)
Daniel Oren
Daniel Platzman
Daniel Pollack
Daniel Pritzker
Daniel Slatkin
Daniel Sternefeld
Daniel Stratievsky
Daniel Wattenberg
Daniel Zamir
Daniella Lugassy
Daniella Pick
Danielle Haim
Daniil Shafran
Danni Bassan
Danny Ben-Israel
Danny Elfman
Danny Kaye
Danny Klein
Danny Robas
Danny Schmidt
Dany Brillant
Dario Moreno
Darius Milhaud
Daryl Hall
Dave Frishberg
Dave Getz
Dave Grusin
Dave Koz
Dave Liebman
Dave Rubinstein
Dave Schneider (musician)
Dave Specter
Dave Stamper
Daveed Diggs
Davi Cheng
David Ari Leon
David Ashkenazi
David Axelrod (musician)
David Bar-Illan
David Berman (musician)
David Bernard (conductor)
David Bromberg
David Bryan
David D'Or
David Draiman
David Dubal
David Duchovny
David Friesen
David Frost (producer)
David Grisman
David Helfgott
David I. Arkin
David Krivoshei
David Lee Roth
David Mann (songwriter)
David Meyerowitz
David Montague Davis
David Nowakowsky
David Oistrakh
David Oppenheim (musician)
"David Pardo (Dutch rabbi, born in Salonica)"
David Pomeranz
David Popper
David Refael ben-Ami
David Roitman
David Rose (songwriter)
David Rosenthal (musician)
David Rovics
David Safran
David Serero (singer)
David Shallon
David Shire
David Soyer
David Werdyger
David Yazbek
David Zippel
Dean Friedman
Debbie Friedman
Debbie Loeb
Deborah Chessler
Deborah Davis (hazzan)
Dedi Graucher
Dege Feder
Delroy Edwards
Denise Eisenberg Rich
Des O'Connor
Despot (rapper)
Dezső Ernster
Diane Renay
Diane Warren
Dianna Agron
Diaspora Yeshiva Band
Dick James
Dick Kattenburg
Dick Manning
Didi Benami
Din Din Aviv
Dina Joffe
Dina Turgeman
Dinah Shore
Dinorah Varsi
Disco D
Dmitri Bashkirov
Dmitri Klebanov
Dmitri Kogan
Dmitry Pokrass
Doc Pomus
Doja Cat
Domino Kirke
Don Jaffe
Don Kirshner
Donald Fagen
Donald Weilerstein
Dora Gerson
Dorel Golan
Dorian Electra
Doron Medalie
Doron Toister
Dorothy Fields
Dorothy Sarnoff
Doug Cotler
Dov Carmel
Dov Glickman
Dov Rosenblatt
Dov Seltzer
Dov Shurin
Dragan Plamenac
Drake (musician)
Dror Biran
Dror Elimelech
Dror Feiler
Dudu Tassa
Duff Goldman
Duvid Swirsky
Ed Ames
Edan (musician)
Eddie Butler (singer)
Eddie Cantor
Eddie Daniels
Eddie Fisher
Ede Reményi
Eden Golan
