query_name,matched_name,creator_id,total_results,count__free-music-archive,count__laion-disco-12m,count__sleeping-disco-9m,count__spotify-tracks-dataset,present_datasets,used_by_datasets,used_by_companies,flag
Minden,Minden,470b6b60-463d-48a3-936e-afc60813d06c,30,10,0,20,0,free-music-archive;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Jonathan Burks,Jonathan Burks,20975,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Joao Picoito,Joao Picoito,20971,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Shy Kids,Shy Kids,81c0d6c2-1779-4eb2-933d-41820522742b,52,10,42,0,0,free-music-archive;laion-disco-12m,free-music-archive,Google;Stability AI,USED_BY
Nate Maingard,Nate Maingard,8a1b40d8-e6d5-4504-b1b9-01bd0707f3d3,12,10,0,2,0,free-music-archive;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
The Red Thread,The Red Thread,9f0b9972-95f1-44b6-be15-80f6a6dcd7ba,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Karyn Ellis,Karyn Ellis,be8e6b6a-eba8-415a-ab54-15acb2d9d061,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Cousin Silas / Black Hill,Cousin Silas / Black Hill,21060,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Wintermitts,Wintermitts,d07273fe-bff3-4404-90e1-569a50dac78f,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
"Oh Yeah, the Future","Oh Yeah, the Future",21081,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
chicago_word_brigade & brass-lines,chicago_word_brigade & brass-lines,21092,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Mal Occhio,Mal Occhio,21093,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Trigg & Gusset,Trigg & Gusset,b2176eae-16da-46e7-a29c-31efea86505e,61,10,40,11,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Jimmy Penguin Vs Symatic,Jimmy Penguin Vs Symatic,21117,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Marzipan Marzipan,Marzipan Marzipan,02f9ffac-8d70-43ae-9b9d-b8be1360dc9b,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
va,va,6058,11,10,0,1,0,free-music-archive;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Robert Tilly,Robert Tilly,1wmgKC5oM8pQE1u3jc6uuj,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Cervo,Cervo,21314,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Your Marginally Talented Photographer Girlfriend,Your Marginally Talented Photographer Girlfriend,21464,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
OpVious,OpVious,21484,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Goddess,Goddess,21491,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
David Nadeau,David Nadeau,23fbb837-ffad-4bb8-a9d2-a7e933ac9f4c,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
The Fish Who Saved the Planet,The Fish Who Saved the Planet,7e5c73a6-0eb2-435b-9d71-bb9d079bda2d,11,11,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Shayna Lewis,Shayna Lewis,21682,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Karissa Hobbs,Karissa Hobbs,21874,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
