rank,channel,total_clips,channel_type
189,Samuel and Audrey - Travel and Food Videos,384,company/brand
190,Chigz Tech Reviews,377,company/brand
191,AGENCIA EFE,375,company/brand
192,Avocado Couple I Crazy Comics,374,individual
193,IrixGuy's Adventure Channel,374,company/brand
194,LOCAL 12,374,company/brand
195,WFLA News Channel 8,370,company/brand
196,Did You Know Animals ?,369,individual
197,SABC News,367,company/brand
198,Bitwit,365,individual
199,Fifth Gear,365,individual
200,RevZilla,365,individual
201,Unisport,364,individual
202,b/60,358,company/brand
203,Engineering Explained,356,individual
204,Dan Patrick Show,356,company/brand
205,The Denver Post,355,individual
206,Rumble Viral,352,individual
207,Multishow,351,individual
208,Oddbods - Official Channel,350,company/brand
209,TKOR,350,company/brand
210,Dan Lok,349,individual
211,Bloomberg Television,349,company/brand
212,Top 10s,348,individual
213,On Demand News,348,company/brand
214,SuperSaf,345,individual
215,Kamp Kenan,344,individual
216,Rangers Football Club (Official),344,company/brand
217,TomoNews US,344,individual
218,backofficeshow,338,individual
219,CNET Cars,335,individual
220,PragerU,333,individual
221,FTD Facts,329,individual
222,The Try Guys,329,individual
223,iJustine,328,individual
224,RCSparks Studio,328,company/brand
225,DW Deutsch,327,individual
226,NBC News,327,company/brand
227,4 Ever Green,326,company/brand
228,Patrick Wieland,325,individual
229,Emma and Ellie's Family,324,company/brand
230,List 25,324,individual
231,WION,323,company/brand
232,Sanjeev Kapoor Khazana,321,individual
233,Valuetainment,319,individual
234,TODAY,319,company/brand
235,CNBC,317,company/brand
236,TheRichest,316,individual
237,Tonka the Malamute AKA WaterWolf,316,individual
238,Rapid Trailer,314,company/brand
239,Chrome for Developers,313,individual
240,NYOOOZ TV,313,company/brand
241,The Finest,312,individual
242,Android Authority,312,individual
243,Evan Shanks,311,individual
244,USA TODAY,308,company/brand
245,The Tonight Show Starring Jimmy Fallon,308,company/brand
246,moviemaniacsDE,306,individual
247,TIM and FIN,304,individual
248,Weird World,304,company/brand
249,Dr.E (BigMac MacDonald Lee),303,individual
250,It's AumSum Time,302,individual
251,Dish Nation,302,individual
252,Democracy Now!,301,individual
253,MMA Junkie,301,individual
254,Noticias Telemundo,301,individual
255,Brasil notícias,301,individual
256,SuperFunReviews,300,individual
257,Audacy,300,individual
258,Supercar Blondie,300,individual
259,SBS TV동물농장x애니멀봐,300,company/brand
260,50 Ducks In A Hot Tub,299,company/brand
261,Stretford Paddock,299,individual
262,WildFilmsIndia,299,individual
263,HOT 97,298,company/brand
264,CineD,297,individual
265,The Rich Eisen Show,297,company/brand
266,AntsCanada,296,individual
267,Strictly Dumpling,296,individual
268,Clevver News,296,company/brand
269,СТС,296,individual
270,Castanet News,295,company/brand
271,African Diaspora News Channel,294,company/brand
272,The Jimmy Dore Show,294,company/brand
273,Now You Know,293,individual
274,Number Six With Cheese,293,individual
275,Lucky Penny Shop,293,individual
276,Voice of America,293,individual
277,Lunkers TV,292,company/brand
278,Karl Rock,292,individual
279,LALIGA EA SPORTS,292,company/brand
280,Kelley Blue Book,290,individual
281,April and Davey,290,individual
282,PokerNews,290,individual
283,Android Developers,289,individual
284,CBN News,289,company/brand
285,The Redmen TV,288,company/brand
286,Zig & Sharko,286,individual
287,American Eye,286,individual
288,Scripps News Life,286,company/brand
289,Man City,285,individual
290,Vic Stefanu - Amazing World Videos,285,company/brand
291,ScreenCrush,284,individual
292,TRANS7 Lifestyle,284,company/brand
293,FOX 11 Los Angeles,283,company/brand
294,Matthew Moniz,283,individual
295,Outliers Overland,283,individual
296,FilmIsNow Movie Bloopers & Extras,283,company/brand
297,Natural Cures,282,individual
298,Bodybuilding.com,282,company/brand
299,EverythingApplePro E A P,282,individual
300,Life Meets Family,281,company/brand
301,Google Cloud Tech,280,company/brand
302,Shawn Woods (Mousetrap Monday),280,individual
303,Living Survival,280,individual
