name,mbid,fma_track_count
Joanne Fluke,,34
P. G. Wodehouse,,34
F. Scott Fitzgerald,,33
Amanda Quick,,33
Nancy Springer,,33
Dave Barry,,33
Anonymous,,33
Muriel Spark,,33
Ilona Andrews,,33
John Flanagan,,33
Jonathan Kellerman,,33
F. Paul Wilson,,33
Adam Karlin,,33
Herman Melville,,33
Robert Ludlum,,33
Lawrence Durrell,,33
Tess Gerritsen,,33
Patricia Cornwell,,33
Andrea Schulte-Peevers,,33
Not For Tourists,,33
Alexis Morgan,,33
Kevin Raub,,33
Karl Marx,,32
Cassandra Clare,,32
Dante Alighieri,,32
Graham Greene,,32
Henry David Thoreau,,32
Karin Slaughter,,32
Peter Robinson,,32
John le Carré,,32
Italo Calvino,,32
Lisa Scottoline,,32
Diana Wynne Jones,,32
Donna Leon,,32
Nancy Thayer,,32
Conn Iggulden,,32
Gordon R. Dickson,,32
Henry Miller,,32
C. G. Jung,,32
Max Allan Collins,,32
Tamora Pierce,,32
C. S. Lewis,,32
Michael Crichton,,32
Brendan Sainsbury,,32
Katharine Kerr,,32
Alexis Averbuck,,32
Marc Di Duca,,32
Émile Zola,,31
Lorraine Heath,,31
Martin Heidegger,,31
Donald E. Westlake,,31
Harlan Coben,,31
Steve Berry,,31
Robert Louis Stevenson,,31
Faye Kellerman,,31
Anthony Trollope,,31
Roberto Bolaño,,31
Natalie Pope Boyce,,31
Henning Mankell,,31
Isaac Asimov,,31
Eric Flint,,31
Ernest Hemingway,,31
John Shirley,,31
Dan Simmons,,31
Len Deighton,,31
Margaret Peterson Haddix,,31
Neal Asher,,31
Laurell K. Hamilton,,31
Trent Holden,,31
John Marsden,,31
Anton Chekhov,,31
Wendy Corsi Staub,,31
John Saul,,31
Victoria Alexander,,31
Alice Walker,,30
Christie Golden,,30
Peter Ackroyd,,30
Arthur Conan Doyle,,30
David Gemmell,,30
Garth Nix,,30
Sara Shepard,,30
Dennis Wheatley,,30
Deepak Chopra,,30
Larry Niven,,30
Adrian Tchaikovsky,,30
Val McDermid,,30
Anna Kaminski,,30
Lora Leigh,,30
Salman Rushdie,,30
Tim Lebbon,,30
John C. Maxwell,,30
Benedict Walker,,30
Jack London,,30
James Lovegrove,,30
Gordon Korman,,29
Holly Black,,29
Alistair MacLean,,29
Frank Herbert,,29
Julie Garwood,,29
Dale Brown,,29
Plato,,29
Robin Hobb,,29
Rudyard Kipling,,29
Osho,,29
Darren Shan,,29
Jack Kerouac,,29
Robyn Carr,,29
J. A. Jance,,29
Marcel Proust,,29
Ed Greenwood,,29
Paulo Coelho,,29
Grace Burrowes,,29
Maya Angelou,,29
Gena Showalter,,29
Diana Gabaldon,,29
Hermann Hesse,,29
Jim Butcher,,29
Jill Shalvis,,29
Alastair Reynolds,,29
Tim LaHaye,,29
Lindsey Davis,,29
Susan Sontag,,29
Michael Grant,,29
Coco Simon,,29
Kate Elliott,,29
May Sarton,,29
Ray Bartlett,,29
James Joyce,,29
Bertrand Russell,,28
Pamela Sargent,,28
Pearl S. Buck,,28
Javier Marías,,28
Alison Weir,,28
Andrea Camilleri,,28
Kathy Reichs,,28
Ryan Ver Berkmoes,,28
Daphne du Maurier,,28
José Saramago,,28
Brenda Novak,,28
Kate Armstrong,,28
Alice Munro,,28
Laurie R. King,,28
Michael Jan Friedman,,28
Robert Papp,,28
Richelle Mead,,28
Sarah Woodbury,,28
Scott Adams,,28
Patricia Highsmith,,28
Robert K. Tanenbaum,,28
John Connolly,,28
Peter Tremayne,,28
Sue Grafton,,28
Barbara Park,,28
Paul Harding,,28
Joe Haldeman,,28
S. M. Stirling,,27
Philip Pullman,,27
Deborah Blake,,27
David G. Hartwell,,27
Ann Cleeves,,27
David Eddings,,27
Hal Leonard Corp.,,27
Samuel R. Delany,,27
Jon Scieszka,,27
Stephen R. Donaldson,,27
Wilbur Smith,,27
Nancy Kress,,27
Denise Swanson,,27
Jim DeFelice,,27
Adrienne Rich,,27
Wendell Berry,,27
Jo Nesbo,,27
James A. Michener,,27
Isobelle Carmody,,27
Gene Openshaw,,27
Ridley Pearson,,27
Jerry B. Jenkins,,27
Leslie Meier,,27
Kim Stanley Robinson,,27
Larry McMurtry,,27
Kingsley Amis,,27
Jim Harrison,,27
Ken Bruen,,27
Meljean Brook,,27
Gore Vidal,,27
Bob Sehlinger,,27
Robert Jordan,,27
Josh McDowell,,27
Lonely Planet Publications Staff,,27
The Economist,,26
Julia Kristeva,,26
J. K. Rowling,,26
Ian Stewart,,26
Lois Lowry,,26
Elin Hilderbrand,,26
Pittacus Lore,,26
Willa Cather,,26
Don Pendleton,,26
Eric Van Lustbader,,26
Lee J. Ames,,26
Michael Grosberg,,26
Editors at Taste of Home,,26
Gabriel García Márquez,,26
Donald J. Sobol,,26
D. H. Lawrence,,26
Voltaire,,26
Sophie Jordan,,26
Allen Steele,,26
Alan Hunter,,26
Bruce Weinstein,,26
V. S. Naipaul,,26
Lawrence Watt-Evans,,26
Robert Sheckley,,26
Julia Quinn,,26
Philip Reeve,,26
Richard Matheson,,26
Duncan Garwood,,26
Barbara Delinsky,,26
Christine Feehan,,26
Bill Bryson,,26
Patrick Modiano,,26
David Mack,,26
Chris Riddell,,26
Suzanne Williams,,26
Klaus Carl,,26
Christopher Hart,,26
Jack Canfield,,26
Alexandre Dumas,,26
Hugh McNaughtan,,26
Robert Harris,,25
Alan Bennett,,25
Nelson DeMille,,25
James Baldwin,,25
Gregory Benford,,25
Hodges Soileau,,25
Chris Ryan,,25
John Barnes,,25
Jane Yolen,,25
César Aira,,25
Sean Williams,,25
Philippa Gregory,,25
Lisa Kleypas,,25
Virginia Maxwell,,25
Neil LaBute,,25
Theodor W. Adorno,,25
Elizabeth Moon,,25
Yasmine Galenorn,,25
John Lescroart,,25
Phyllis Good,,25
Sherryl Woods,,25
Judy Blume,,25
Steven Brust,,25
Kaplan Test Prep,,25
Lynn Austin,,25
Ian McDonald,,25
Alan Cross,,25
Paul Stewart,,25
Mary Daheim,,25
Madeleine L'Engle,,25
Carolyn McCarthy,,25
Carrie Vaughn,,25
Mary McCarthy,,25
Honoré de Balzac,,25
Ann Aguirre,,25
Helene Siegel,,25
Victor Appleton,,25
Stuart Butler,,25
Hideyuki Kikuchi,,25
L. E. Modesitt,,25
Jean Johnson,,25
Llewellyn,,25
Steve Miller,,24
James Lee Burke,,24
Jennifer Chiaverini,,24
Carl Hiaasen,,24
Alexander Kent,,24
Stephen Jones,,24
Gaelen Foley,,24
Sharon Sala,,24
Peter James,,24
Rachel Vincent,,24
Good Housekeeping Institute,,24
Rachel Kramer Bussel,,24
Brian Clegg,,24
Gustave Flaubert,,24
Elizabeth Boyle,,24
Dayton Ward,,24
Carola Dunn,,24
Tom Stoppard,,24
Karen Traviss,,24
George Eliot,,24
Sidney Sheldon,,24
John Gardner,,24
Andrew Vachss,,24
Maxine Paetro,,24
Jack McDevitt,,24
The Editors of Cooking Light,,24
Zygmunt Bauman,,24
Culture Smart!,,24
Aldous Huxley,,24
Dudley Pope,,24
Anthony Powell,,24
Jodi Taylor,,24
Kate Wilhelm,,24
Patricia Briggs,,24
Catherine Coulter,,23
Naguib Mahfouz,,23
Nathaniel Hawthorne,,23
Philip Kerr,,23
Brian Jacques,,23
David Gerrold,,23
Steve Perry,,23
Kristine Kathryn Rusch,,23
S.J.A. Turney,,23
Rockridge Press,,23
John Brunner,,23
Peter Lerangis,,23
Steve Fallon,,23
Don Winslow,,23
Brian W. Aldiss,,23
Ted Dekker,,23
Peter Corris,,23
Greg Keyes,,23
Julie E. Czerneda,,23
Sharon Lee,,23
Shirley Rousseau Murphy,,23
David Levithan,,23
Jean-Bernard Carillet,,23
Jude Watson,,23
Jennifer L. Armentrout,,23
Cate Tiernan,,23
Kresley Cole,,23
Celeste Brash,,23
Jeff Brown,,23
Brad Thor,,23
Mark Kurlansky,,23
Julian Barnes,,23
Brian Herbert,,23
Alexandra Ivy,,23
Norman Mailer,,23
Murray Leinster,,23
Marjorie Weinman Sharmat,,23
Phil Rickman,,23
Beatrix Potter,,23
Len Testa,,23
Tracie Peterson,,23
Jennifer Roberson,,23
Julie Kagawa,,23
Sheila Roberts,,22
Barb Hendee,,22
Edgar Rice Burroughs,,22
Daniel Silva,,22
Nathalia Brodskaya,,22
Michael Palmer,,22
Fred Vargas,,22
Seamus Heaney,,22
Fyodor Dostoevsky,,22
Brad Taylor,,22
Orhan Pamuk,,22
Evelyn Waugh,,22
Nadine Gordimer,,22
Maureen Johnson,,22
Rebecca West,,22
Hannah Arendt,,22
Theodore Sturgeon,,22
Jean-Paul Sartre,,22
David Brin,,22
Diana Palmer,,22
Jean-Jacques Rousseau,,22
Anne Bishop,,22
Walt Whitman,,22
Linda Fairstein,,22
Robert J. Sawyer,,22
Denise Hunter,,22
Peter Straub,,22
David Zinczenko,,22
Rhys Ford,,22
Loretta Chase,,22
Scott Westerfeld,,22
Jodi Picoult,,22
Taste Of Home,,22
Carolyn Bain,,22
Kim Harrison,,22
Mark Bittman,,22
Andrew Lang,,22
Liz Carlyle,,22
Jeaniene Frost,,22
Nevada Barr,,22
Andrew Neiderman,,22
Christopher Pike,,22
David Sherman,,22
Jill McGown,,22
Mark Cheverton,,22
Martin Amis,,22
Fédor Dostoïevski,,22
Anne Tyler,,22
Victor Hugo,,22
P. D. James,,22
Juliet Marillier,,22
Julian May,,22
Ian Douglas,,22
Lisa Childs,,22
Ian McEwan,,21
Ross Macdonald,,21
Upton Sinclair,,21
Steven Erikson,,21
Sylvia Day,,21
Clive Barker,,21
Craig Johnson,,21
Sharon Shinn,,21
Caitlin R. Kiernan,,21
Daniel Defoe,,21
P. T. Deutermann,,21
Jonathan Lethem,,21
Donna Kauffman,,21
J.R. Ward,,21
Nicholas Sparks,,21
Scott Mariani,,21
Paul Doherty,,21
Fyodor Dostoyevsky,,21
Devdutt Pattanaik,,21
Alice Hoffman,,21
Elizabeth Hand,,21
T. S. Eliot,,21
Vince Flynn,,21
Andrew Gross,,21
Darwin Porter,,21
Gini Koch,,21
Lisa McMann,,21
Jackie French,,21
Tad Williams,,21
Amos Oz,,21
Robert Jeschonek,,21
Robin Robertson,,21
Sylvia Plath,,21
Jeanette Winterson,,21
Erica Jong,,21
Mark Baker,,21
Tom Masters,,21
Jennifer Estep,,21
Megan McDonald,,21
Irvine Welsh,,21
Walter Farley,,21
Thomas Keneally,,21
Charles Darwin,,21
John Banville,,21
David Foster Wallace,,21
C. J. Box,,21
Karla Zimmerman,,21
William Shatner,,21
Cecelia Holland,,21
Raymond Chandler,,21
Claudia Gray,,21
Jeff VanderMeer,,21
Jayne Ann Krentz,,21
Mike Shepherd,,21
James Grippando,,21
Lewis Carroll,,21
Philippa Carr,,21
Mary Oliver,,21
Karen Gillingham,,21
Jürgen Habermas,,21
Thomas E. Sniegoski,,21
Slavoj Zizek,,21
Tui T. Sutherland,,21
Kate Morgan,,21
Jennifer Fallon,,21
Amy C Balfour,,21
Ellen Brown,,20
Clive James,,20
T. A. Barron,,20
Ali Smith,,20
G. K. Chesterton,,20
Ron Roy,,20
Umberto Eco,,20
Mark Billingham,,20
Mary Robinette Kowal,,20
John Brockman,,20
Richard Paul Evans,,20
Gail Carriger,,20
Robertson Davies,,20
Denis Diderot,,20
Stephen E. Ambrose,,20
James M. Cain,,20
Richard North Patterson,,20
Sophie Kinsella,,20
Penelope Lively,,20
Tim Dorsey,,20
Fodor's Travel Publications,,20
Kristen Ashley,,20
Patrick O'Brian,,20
Sarah J. Maas,,20
Stanislaw Lem,,20
Nederland,,20
Robert Crais,,20
The Editors of Southern Living,,20
Thomas H. Cook,,20
Faith Hunter,,20
Ann Hood,,20
Nick Hornby,,20
Douglas Clegg,,20
Nancy Atherton,,20
Emma Donoghue,,20
Will Self,,20
Dalai Lama,,20
Elizabeth George,,20
Charlotte Bronte,,20
John Ashbery,,20
Cory Doctorow,,20
D. A. Carson,,20
Cecily von Ziegesar,,20
