query_name,matched_name,creator_id,total_results,count__free-music-archive,count__laion-disco-12m,count__sleeping-disco-9m,count__spotify-tracks-dataset,present_datasets,used_by_datasets,used_by_companies,flag
Kai Engel,Kai Engel,aa55b20b-36d8-4093-84f3-c5c7942ff2c8,292,140,150,2,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Mittimus,Mittimus,1640,144,144,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Cullah,Cullah,369b127b-ca39-4618-88f6-132f1bc8a27f,151,135,0,16,0,free-music-archive;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Richard Jonas,Richard Jonas,5ef5b8ec-98df-496f-b8d1-f91491a32513,132,132,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Squire Tuck,Squire Tuck,19472,132,132,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Scott Holmes,Scott Holmes,43ad772e-7a01-4b7f-83c7-64a3dfcc3084,136,131,5,0,0,free-music-archive;laion-disco-12m,free-music-archive,Google;Stability AI,USED_BY
Keshco,Keshco,92228b8c-b851-4a15-b324-cced2f0fb482,126,126,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
johnny_ripper,johnny_ripper,cc6137ce-4ed9-4711-b775-b97c2e53db41,124,124,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
The Conet Project,The Conet Project,433c0996-077c-4a28-9261-57858eb31832,122,122,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Schemawound,Schemawound,04c0cd87-8f91-436e-99b4-5520a53bfe5e,122,122,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Trans Atlantic Rage,Trans Atlantic Rage,6568f169-e0d9-42ff-bb52-cb2c7dfc0bf9,120,120,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Elvis Herod,Elvis Herod,4c60914a-628f-4483-90fb-a1945863a73f,116,116,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Oblivian Substanshall,Oblivian Substanshall,a94ea428-91a3-40c8-a38e-e05b338937d6,115,115,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Bauchamp,Bauchamp,ee23f53c-45cb-4528-80fd-34d1b61b52eb,143,115,28,0,0,free-music-archive;laion-disco-12m,free-music-archive,Google;Stability AI,USED_BY
RÉGIS VICTOR,RÉGIS VICTOR,8aafd7b5-76df-42cf-bfcf-7e55ee4cf315,113,113,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Circus Marcus,Circus Marcus,97d54a87-7c0f-4306-9cb0-f3b5fb86b7d7,110,110,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
THF Drenching,THF Drenching,5118,108,108,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Disco Missile,Disco Missile,08c34398-d79e-40b8-928f-66f8a518762e,108,108,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Monk Turner,Monk Turner,817ec3ad-7ba2-451f-928b-cb15131cf5b0,105,105,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Telegraphy,Telegraphy,7a85c083-820b-4545-bf3a-5d42a08fc68a,104,104,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Learning Music,Learning Music,ff901e96-122d-4623-90f8-926cf8bae13c,103,103,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
CM aka Creative,CM aka Creative,6fcdc0f1-ddd6-4adc-95be-adcd55a4166f,102,102,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Section 27 Netlabel,Section 27 Netlabel,8563,99,99,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
ODOR BABY,ODOR BABY,64c2e7b7-9447-4c80-9ac5-871e625d4ada,99,99,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Benjamin Bret,Benjamin Bret,7290,99,99,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Welcome Wizard,Welcome Wizard,2226,97,97,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
junior85,junior85,3dc6e2c0-2d8b-45b8-a7be-5b8f2ec4ed59,120,120,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
K. Sparks,K. Sparks,ac7b11e9-b6c9-446a-8147-bf0c2c451810,157,97,21,39,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Fortyone,Fortyone,975e9cd1-247d-4e21-b5b6-94b6551c601d,98,98,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
The Scallions,The Scallions,fc9df9c2-fb04-4804-b4e3-2efd01d6723a,96,96,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Chris Zabriskie,Chris Zabriskie,cd661c5c-c9ce-42ff-83f8-7b1dd1515d64,100,96,0,4,0,free-music-archive;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Cosmic Analog Ensemble,Cosmic Analog Ensemble,e05a9d5c-1fb1-4652-8b54-d0c97add6b94,108,95,0,13,0,free-music-archive;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Alaclair Ensemble,Alaclair Ensemble,885ed00a-34ba-4139-bcfc-5065f6270726,200,94,59,47,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Bryan Lewis Saunders,Bryan Lewis Saunders,6c789bd8-cc7d-4445-b068-11e1930c8875,95,95,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Nicky Cook,Nicky Cook,bf670de5-ad6a-4ac0-9068-184dedf351ef,93,93,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Obits,Obits,b6c82c04-f1b4-41a6-ae15-a64a96d1e6c4,113,93,0,20,0,free-music-archive;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Thiaz Itch,Thiaz Itch,7a6baf0c-04c3-4693-867a-bd3a6481e26d,91,91,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
R. Stevie Moore,R. Stevie Moore,6ac67c73-2833-4af3-b2e7-3bec5a7e3f85,232,90,2,140,0,free-music-archive;laion-disco-12m;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Krackatoa,Krackatoa,438f04dc-41ea-4de9-9d56-fc845b52d0c1,89,89,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Ketsa,Ketsa,fa62a309-ae21-48ea-b1df-ff7e4893a986,89,89,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Future Sauce,Future Sauce,19799,88,88,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
+HIRS+,+HIRS+,d98ae071-e23d-4058-b2ed-e136d2c1b593,124,92,0,32,0,free-music-archive;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
