query_name,matched_name,creator_id,total_results,count__runway-jupiter,count__yttemporal-180m,count__internvid,count__panda70m,count__hdvila100m,count__koala36m,count__howto100m,count__hdvg130m,count__openvid1m,count__vidgen1m,count__youtube8m,present_datasets,used_by_datasets,used_by_companies,flag
MrBeast,MrBeast,,1434,687,237,159,100,66,61,44,37,22,19,2,hdvg130m;hdvila100m;howto100m;internvid;koala36m;openvid1m;panda70m;runway-jupiter;vidgen1m;youtube8m;yttemporal-180m,hdvg130m;hdvila100m;internvid;openvid1m;runway-jupiter;vidgen1m;yttemporal-180m,Amazon;ByteDance;Kuaishou;Meta;Microsoft;Nvidia;Runway;Snap;Stability AI;Tencent,USED_BY
PewDiePie,PewDiePie,,1109,0,426,29,155,125,119,39,82,44,35,55,hdvg130m;hdvila100m;howto100m;internvid;koala36m;openvid1m;panda70m;vidgen1m;youtube8m;yttemporal-180m,hdvg130m;hdvila100m;internvid;openvid1m;vidgen1m;yttemporal-180m,Amazon;ByteDance;Kuaishou;Meta;Microsoft;Nvidia;Snap;Stability AI;Tencent,USED_BY
Veritasium,Veritasium,,592,0,81,82,94,81,80,46,49,50,16,13,hdvg130m;hdvila100m;howto100m;internvid;koala36m;openvid1m;panda70m;vidgen1m;youtube8m;yttemporal-180m,hdvg130m;hdvila100m;internvid;openvid1m;vidgen1m;yttemporal-180m,Amazon;ByteDance;Kuaishou;Meta;Microsoft;Nvidia;Snap;Stability AI;Tencent,USED_BY
Kurzgesagt – In a Nutshell,Kurzgesagt – In a Nutshell,,441,210,20,77,36,22,18,36,12,2,6,2,hdvg130m;hdvila100m;howto100m;internvid;koala36m;openvid1m;panda70m;runway-jupiter;vidgen1m;youtube8m;yttemporal-180m,hdvg130m;hdvila100m;internvid;openvid1m;runway-jupiter;vidgen1m;yttemporal-180m,Amazon;ByteDance;Kuaishou;Meta;Microsoft;Nvidia;Runway;Snap;Stability AI;Tencent,USED_BY
